date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:21	37457/37457	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/contact/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/contact/index.html	(from https://adalightfoot.org/)
12:50:21	241613/241613	---M--	200	added ('OK')	image/jpeg	etag:%2266d76f68-3afcd%22	https://adalightfoot.org/assets/images/TIGERSTRIPE.jpg	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/TIGERSTRIPE.jpg	(from https://adalightfoot.org/about/)
12:50:22	4618016/4618016	---M--	200	added ('OK')	application/pdf	etag:%2266d76f68-467720%22	https://adalightfoot.org/assets/pdf/Light_Foot_Militia_Standards_2020.pdf	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/pdf/Light_Foot_Militia_Standards_2020.pdf	(from https://adalightfoot.org/about/)
12:50:22	167785/167785	---M--	200	added ('OK')	image/jpeg	etag:%2266d76f68-28f69%22	https://adalightfoot.org/assets/images/MULTICAM.jpg	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/MULTICAM.jpg	(from https://adalightfoot.org/join/)
12:50:23	9874/9874	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/recruits/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/recruits/index.html	(from https://adalightfoot.org/join/)
12:50:23	11480/11480	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/equipment/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/equipment/index.html	(from https://adalightfoot.org/join/)
12:50:23	8450/8450	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/safety/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/safety/index.html	(from https://adalightfoot.org/join/)
12:50:23	485747/485747	---M--	200	added ('OK')	image/jpeg	etag:%2266d76f68-76973%22	https://adalightfoot.org/assets/images/OCP.jpg	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/images/OCP.jpg	(from https://adalightfoot.org/training/)
12:50:23	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Mar%202025%2018:50:14%20GMT	https://adalightfoot.org/arms-qualifications	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/arms-qualifications	(from https://adalightfoot.org/training/)
12:50:24	9348/9348	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/arms-qualifications/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/arms-qualifications/index.html	(from https://adalightfoot.org/join/)
12:50:24	38507/38507	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2020:19:52%20GMT	https://adalightfoot.org/apply/	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/apply/index.html	(from https://adalightfoot.org/join/)
12:50:25	1030/1030	---MCZ	200	added ('OK')	text/css	etag:W/%22f0a0ed67c25a37fb4e47d76a2434d7f5%22	https://assets.mlcdn.com/fonts.css?version=1699264	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/assets.mlcdn.com/fontsc1d2.css	(from https://adalightfoot.org/contact/)
12:50:25	9931/9931	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d7cefb-26cb%22	https://static.mailerlite.com/js/w/webforms.min.js?vd4de52e171e8eb9c47c0c20caf367ddf	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/static.mailerlite.com/js/w/webforms.minc826.js	(from https://adalightfoot.org/contact/)
12:50:25	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Mar%202025%2018:50:16%20GMT	https://adalightfoot.org/assets/pdf/uv5r.pdf	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/adalightfoot.org/assets/pdf/uv5r.pdf	(from https://adalightfoot.org/equipment/)
12:50:27	911/911	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Mar%202025%2018:50:16%20GMT	https://www.google.com/recaptcha/api.js	E:/Clients-Projects/m/website/download%202025%2003%2021/adalightfoot/www.google.com/recaptcha/api.js	(from https://adalightfoot.org/apply/)
